year,cause,deaths,deaths_lower,deaths_upper
1999,Diabetes and kidney diseases,1668364.9144609938,1514814.7780251105,1832024.5878053256
1999,Diarrheal diseases,2449261.8617521734,1931057.5719651268,3250230.2224944774
1999,Digestive diseases,2029042.418439712,1808629.8756759816,2253397.134639794
1999,Lower respiratory infections,2710102.1702433787,2440643.3858608715,3026711.64105396
1999,Neonatal disorders,2674873.096520998,2549138.51088726,2808554.749405031
1999,Total cancers,6906493.55245796,6525853.390335114,7191592.518252357
1999,"Tracheal, bronchus, and lung cancer",1291735.1997723193,1216240.6605185184,1392273.6431152138
1999,Tuberculosis,1801366.5983722815,1417849.6242114054,2227111.3181259558
2000,Cardiovascular diseases,14562528.707321009,13675265.889062207,15351649.92902609
2000,Chronic respiratory diseases,2885325.693078245,2367135.624239845,3234335.751203773
2000,Diabetes and kidney diseases,1719497.250217222,1560329.653199505,1893208.7661292928
2000,Diarrheal diseases,2336165.207679741,1838891.1067195744,3112270.2109737066
2000,Digestive diseases,2052323.172802476,1849760.4526968475,2264326.5964955008
2000,Lower respiratory infections,2646582.5537113207,2368958.5338719757,2949960.941204118
2000,Neonatal disorders,2610429.573443865,2495088.0291172066,2736674.416088458
2000,Total cancers,7002942.534331605,6615704.0759066045,7281404.233400052
2000,"Tracheal, bronchus, and lung cancer",1321972.5381206863,1243391.55170574,1408747.9439453818
2000,Tuberculosis,1760326.0931179298,1397570.5828955204,2165432.5436113453
2001,Cardiovascular diseases,14642880.150545193,13753439.316881845,15412103.322863083
2001,Chronic respiratory diseases,2961827.087515231,2441797.9046260472,3302008.3318519806
2001,Diabetes and kidney diseases,1769624.3738526995,1613303.0667375189,1945035.5564179705
2001,Diarrheal diseases,2245451.2680988773,1773233.314022157,3034784.069738129
2001,Digestive diseases,2080217.1288027011,1885043.6153216453,2294571.1858243844
2001,Lower respiratory infections,2583865.154824981,2303692.7502933624,2871530.924535071
2001,Neonatal disorders,2546394.425887146,2434621.0695877564,2668287.193214435
2001,Total cancers,7094617.400348733,6725053.5083955815,7379729.754702814
2001,"Tracheal, bronchus, and lung cancer",1342364.1144137883,1259269.8863628453,1429425.25212069
2001,Tuberculosis,1719421.959392823,1389982.9367958882,2118659.737958315
2002,Cardiovascular diseases,14814533.807733243,13900813.56305074,15564907.557993855
2002,Chronic respiratory diseases,3057618.864954461,2541006.239867534,3406472.324020652
2002,Diabetes and kidney diseases,1824869.673305628,1662368.845600446,2003872.7419735168
2002,Diarrheal diseases,2179936.371688575,1722711.69028536,2970026.7169726766
2002,Digestive diseases,2115803.995426133,1921933.7515380112,2326777.381098032
2002,Lower respiratory infections,2561430.839448788,2290358.8675293284,2841924.8933026767
2002,Neonatal disorders,2493303.816666629,2380948.1155288,2609423.500683083
2002,Total cancers,7191578.818463388,6822774.599368628,7488639.087084053
2002,"Tracheal, bronchus, and lung cancer",1366362.332404913,1280573.3332585143,1450835.005145345
2002,Tuberculosis,1679406.5031392237,1372029.5441943833,2069772.6751111744
2003,Cardiovascular diseases,14933723.269188968,14021525.794533262,15723577.226757089
2003,Chronic respiratory diseases,3150480.364431698,2626126.2952825334,3500778.1250221776
2003,Diabetes and kidney diseases,1876420.0549307065,1713481.817165582,2051629.0317730063
2003,Diarrheal diseases,2138796.8715800447,1681189.9676430211,2943991.926333795
